ID,Name,Department,GEO,Role,Rising_Star,Will_Relocate,Critical,Trending Perf,Talent_Level,Validated_Talent_Level,Percent_Remote,EMP_Sat_OnPrem_1,EMP_Sat_OnPrem_2,EMP_Sat_OnPrem_3,EMP_Sat_OnPrem_4,EMP_Sat_OnPrem_5,EMP_Sat_Remote_1,EMP_Sat_Remote_2,EMP_Sat_Remote_3,EMP_Sat_Remote_4,EMP_Sat_Remote_5,EMP_Engagement_1,EMP_Engagement_2,EMP_Engagement_3,EMP_Engagement_4,EMP_Engagement_5,last_evaluation,number_project,average_montly_hours,time_spend_company,Work_accident,left_Company,CSR Factor,promotion_last_5years,sales,salary,Gender,LinkedIn_Hits,Emp_Work_Status2,Emp_Work_Status_3,Emp_Work_Status_4,Emp_Work_Status_5,Emp_Identity,Emp_Role,Emp_Position,Emp_Title,Women_Leave,Men_Leave,Emp_Competitive_1,Emp_Competitive_2,Emp_Competitive_3,Emp_Competitive_4,Emp_Competitive_5,Emp_Collaborative_1,Emp_Collaborative_2,Emp_Collaborative_3,Emp_Collaborative_4,Emp_Collaborative_5,Sensor_StepCount,Sensor_Heartbeat(Average/Min),Sensor_Proximity(1-highest/10-lowest)
1,BRADDY,Operations,US,VP,,0,1,3,6,6,0.4,3,3,4,3,5,2,3,2,3,2,5,5,4,4,3,0.36,3,168,3,1,0,,0,sales,low,M,5,4,3,1,1,1,1,2,1,NA,1,2,4,2,2,2,2,2,2,1,5,1841,61,9
2,BORST,Sales,UK,Senior Director,,0,,3,6,6,0.4,3,3,4,3,5,2,3,2,3,2,5,5,4,4,3,0.36,5,159,2,0,0,,0,accounting,low,F,58,3,3,4,3,2,1,2,1,0,NA,2,2,1,4,1,3,2,5,1,5,1990,90,8
3,BIRDWELL,Finance,France,Senior Director,,0,,3,6,6,0.4,3,3,4,3,5,2,3,2,3,2,5,5,4,4,3,0.36,2,282,3,0,0,,0,product_mng,medium,F,42,2,4,1,3,1,1,2,2,1,NA,1,5,1,2,5,2,2,4,4,4,3193,80,8
4,BENT,Human Resources,China,Senior Director,,0,,3,6,6,0.4,3,3,4,3,5,2,3,2,3,2,5,5,4,4,3,0.36,4,278,4,1,0,,0,product_mng,high,M,37,3,1,4,5,2,1,2,1,NA,1,1,1,2,5,1,1,2,4,4,1,3248,77,6
5,BAZAN,IT,Korea,Director,,0,,3,6,6,0.4,3,3,4,3,5,2,3,2,3,2,5,5,4,4,3,0.36,6,256,5,0,0,,0,sales,low,F,6,4,5,4,5,1,1,2,1,1,NA,1,4,1,5,3,5,1,2,5,4,3149,80,10
6,BANK,Warehouse,Colombia,Director,,0,,3,6,6,0.4,3,3,4,3,5,2,3,2,3,2,5,5,4,4,3,0.36,4,97,4,0,0,,0,sales,medium,F,17,1,4,5,3,2,1,1,1,0,NA,1,3,2,2,3,2,2,4,2,4,1204,85,10
7,BANAS,Operations,Australia,Director,,1,,3,6,6,0.4,3,3,4,3,5,2,3,2,3,2,5,5,4,4,3,0.36,2,136,3,0,0,,0,technical,high,F,35,1,5,5,3,1,1,2,1,0,NA,1,1,2,3,2,5,1,5,4,5,1801,70,10
8,BADE,Sales,Turkey,Director,,1,,3,6,6,0.4,3,3,4,3,5,2,3,2,3,2,5,5,4,4,3,0.36,4,128,4,0,0,,0,technical,medium,F,7,5,1,3,5,2,2,2,1,0,NA,1,3,1,1,2,1,1,4,1,1,1940,86,6
9,AUBREY,Finance,Japan,Director,,0,,3,6,6,0.4,3,3,4,3,5,2,3,2,3,2,5,5,4,4,3,0.36,3,114,3,0,0,,0,technical,high,M,3,5,4,4,5,2,1,2,2,NA,1,1,5,2,5,1,5,2,3,3,2,1974,64,7
10,ARANGO,Human Resources,UK,Director,,1,,3,6,6,0.4,3,3,4,3,5,2,3,2,3,2,5,5,4,4,3,0.36,2,137,4,1,0,,0,marketing,medium,F,4,1,2,2,4,2,1,2,1,0,NA,2,4,1,3,4,4,2,3,3,4,1185,63,8
