"","id","team","manager","jobTasksSDSA","jobBalanceSDSA","jobPaySDSA","jobRecognitionSDSA","jobAdvancementSDSA","jobCoworkersSDSA","jobManagementSDSA"
"1","F411G","R&D","W6837Y",1,2,2,3,2,4,4
"2","W779U","Ethics","V1748V",3,1,4,5,4,3,3
"3","Q427W","DSI","I511L",2,2,3,4,3,3,2
"4","H115G","Finance","Z5080X",2,3,2,4,3,5,4
"5","E288E","Ethics","V1748V",5,4,6,6,6,6,NA
"6","J541D","R&D","V4203Y",1,4,3,3,3,5,6
"7","U207U","Finance","Z5080X",5,4,6,7,7,5,NA
"8","S245M","Finance","V1626X",2,1,4,3,3,2,2
"9","E791P","R&D","X8503X",2,1,4,4,3,3,NA
"10","H817V","R&D","V4859W",3,5,5,4,5,7,NA
"11","O175E","Finance","V1626X",4,3,4,6,5,4,5
"12","R865D","Ethics","W4935V",5,2,7,7,7,4,4
"13","Y753V","Finance","Z4040W",2,5,3,4,3,7,NA
"14","V240N","Finance","Z4040W",5,1,7,6,7,3,2
"15","S858P","Finance","Z5440X",2,2,4,5,3,3,3
"16","F926A","R&D","V4859W",5,1,7,6,6,3,3
"17","C135L","Health","V3988Z",2,4,4,4,4,5,6
"18","M118T","R&D","V4859W",5,1,7,6,7,3,3
"19","H191X","Finance","Z4040W",5,1,6,7,7,3,2
"20","K151K","Finance","Z4040W",5,1,7,6,6,2,3
"21","G130L","Ethics","V5401Z",4,5,6,5,5,6,7
"22","K331C","Finance","Z5440X",2,2,3,3,4,3,3
"23","N146C","DSI","Y7924Z",4,1,6,6,5,3,3
"24","H700G","R&D","V4859W",5,1,6,7,6,3,2
"25","H882E","Finance","Z4040W",1,1,3,3,3,2,3
"26","I437A","R&D","V4203Y",1,4,3,3,3,6,6
"27","G235U","Finance","Z4040W",1,3,3,3,3,4,5
"28","J356R","Finance","Z4040W",2,1,4,4,3,2,3
"29","G978Z","Ethics","V5401Z",3,5,4,4,5,7,7
"30","C230K","R&D","X2508W",1,1,3,3,3,3,2
"31","B542J","DSI","Y7924Z",5,2,6,6,7,3,3
"32","N436H","Finance","Z4040W",4,3,5,5,5,5,5
"33","X631Q","Ethics","W4935V",3,5,5,5,4,7,7
"34","A654L","R&D","X2508W",2,5,3,2,4,6,6
"35","P207V","Ethics","V5401Z",1,3,3,2,3,5,5
"36","K288R","Finance","Z5440X",5,5,5,6,7,6,NA
"37","N137H","R&D","X2508W",3,1,5,4,4,2,3
"38","A199C","Finance","Z5080X",4,5,4,6,6,7,NA
"39","M962K","Health","X3361V",5,3,6,6,6,5,3
"40","H240K","Finance","W7052V",2,3,4,3,3,4,4
"41","C367M","Finance","Z4040W",4,4,6,5,6,6,NA
"42","L595Z","Health","Y9874X",1,1,2,3,2,2,3
"43","D982N","Health","Y9874X",2,3,3,4,3,5,4
"44","N934H","Finance","Z5440X",3,2,4,5,4,4,4
"45","C255K","Finance","Z4040W",5,4,6,7,7,5,6
"46","R359E","Finance","V1626X",1,3,2,2,4,4,4
"47","B554U","Health","X3361V",2,1,4,4,4,2,2
"48","P583H","Ethics","V5401Z",5,1,6,6,6,2,3
"49","B523N","R&D","W6837Y",2,3,3,4,3,4,5
"50","N272I","Health","X3361V",3,5,5,5,5,6,6
"51","Z769A","R&D","W6837Y",3,4,6,5,4,5,5
"52","B331M","Health","V3988Z",5,5,7,7,7,7,NA
"53","P111Q","Finance","Z4040W",4,3,6,6,6,5,5
"54","W910F","Finance","V1626X",3,4,4,5,5,6,6
"55","P716I","Finance","W7052V",5,3,7,7,6,5,NA
"56","C382A","Finance","Z5080X",4,3,5,5,6,5,NA
"57","A694N","Finance","Z4040W",5,3,6,6,7,5,4
"58","Q327Z","R&D","V4859W",4,5,5,5,6,7,NA
"59","I580K","Health","Y9874X",1,4,3,3,2,5,5
"60","W823D","Health","Y9874X",1,2,2,3,2,4,4
"61","Q203J","Ethics","W4935V",3,5,4,4,5,6,6
"62","G835X","DSI","Y7924Z",5,4,7,6,6,5,NA
"63","L683Z","Finance","Z5440X",2,2,4,4,3,3,4
"64","C532P","Ethics","V1748V",3,1,4,5,4,4,2
"65","O965G","Finance","Z5080X",2,4,3,3,3,6,5
"66","T736U","R&D","V4203Y",4,4,6,5,6,6,5
"67","O781F","Health","Y9874X",2,3,3,3,3,4,4
"68","G264L","R&D","V4859W",1,1,2,3,2,3,2
"69","U380A","Finance","Z4040W",1,4,2,1,2,6,5
"70","N340G","Ethics","V1748V",3,3,5,5,5,4,4
"71","F966R","Ethics","V1748V",1,1,3,2,3,3,3
"72","K705Z","Ethics","W4935V",5,3,7,6,7,6,4
"73","M882I","R&D","V4203Y",2,1,4,4,4,2,3
"74","S356D","Finance","Z4040W",3,1,4,4,5,3,NA
"75","I744R","Finance","Z5440X",1,4,3,2,2,5,5
"76","R522U","Finance","V1626X",1,3,3,3,4,4,4
"77","A437B","R&D","X8503X",3,1,5,5,5,3,3
"78","U158Z","Finance","Z4040W",2,5,4,3,4,7,NA
"79","P553F","Ethics","V1748V",4,3,6,6,5,5,5
"80","Z275A","R&D","W6837Y",1,5,3,2,2,6,7
"81","O691R","R&D","X8503X",1,2,3,2,3,3,3
"82","P839A","Ethics","V5401Z",5,4,7,6,6,6,5
"83","H946W","R&D","V4859W",5,1,6,6,6,2,3
"84","B812C","R&D","V4859W",1,5,3,2,3,7,6
"85","M212O","R&D","X8503X",1,5,3,2,3,6,7
